ticker,cmc_name,cg_name,ETH_ADDRESS,ARB_ADDRESS,OP_ADDRESS,POLYGON_ADDRESS,ARB_NOVA_ADDRESS,BNB_ADDRESS,ZKSYNC_ERA_ADDRESS,SOL_ADDRESS,POLYGON_ZKEVM_ADDRESS,AVAX_ADDRESS,METIS_ADDRESS,LINEA_ADDRESS,BASE_ADDRESS
shib0.5,half-shiba-inu,half-shiba-inu,0X8EB94A06B4716093DBFE335CBDB098DEB2DCDE1B,,,,,,,,,,,,
snx,,havven,0XC011A73EE8576FB46F5E1C5751CA3B9FE0AF2A6F,,0X8700DAEC35AF8FF88C16BDF0418774CB3D7599B4,0X50B728D8D964FD00C2D0AAD81718B71311FEF68A,,0X9AC983826058B8A9C7AA1C9171441191232E8404,,8CTNUTCV2UEC3ROYJ642URNVTXORJAWLZC58GXAO7Y56,,0XBEC243C995409E6520D7C41E404DA5DEBA4B209B,,,
sol,solana,solana,,,,,,,,,,,,,
steth,steth,staked-ether,0XAE7AB96520DE3A18E5E111B5EAAB095312D7FE84,,,,,,,,,,,,
stx,stacks,blockstack,,,,,,,,,,,,,
ton,toncoin,the-open-network,0X582D872A1B094FC48F5DE31D3B73F2D9BE47DEF1,,,,,0X76A797A59BA2C17726896976B7B3747BFD1D220F,,,,,,,
trx,tron,tron,0X50327C6C5A14DCADE707ABAD2E27EB517DF87AB5,,,,,0XCE7DE646E7208A4EF112CB6ED5038FA6CC6B12E3,,,,,,,
turbo,turbo,turbo,0XA35923162C49CF95E6BF26623385EB431AD920D3,,,,,,,,,,,,
uni,uniswap,uniswap,0X1F9840A85D5AF5BF1D1762F925BDADDC4201F984,0XB33EAAD8D922B1083446DC23F610C2567FB5180F,,0XB33EAAD8D922B1083446DC23F610C2567FB5180F,,0XBF5140A22578168FD562DCCF235E5D43A02CE9B1,,8FU95XFJHUUKYYCLU13HSZDLS7OC4QZDXQHL6SCEAB36,,0X8EBAF22B6F053DFFEAF46F4DD9EFA95D89BA8580,,,
usdc,usd-coin,usd-coin,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,0XAF88D065E77C8CC2239327C5EDB3A432268E5831,0X7F5C764CBC14F9669B88837CA1490CCA17C31607,0X2791BCA1F2DE4661ED88A30C99A7A9449AA84174,,0X8AC76A51CC950D9822D68B83FE1AD97B32CD580D,0X3355DF6D4C9C3035724FD0E3914DE96A5A83AAF4,EPJFWDD5AUFQSSQEM2QN1XZYBAPC8G4WEGGKZWYTDT1V,0XA8CE8AEE21BC2A48A5EF670AFCC9274C7BBBC035,0XB97EF9EF8734C71904D8002F8B6BC66DD9C48A6E,0XEA32A96608495E54156AE48931A7C20F0DCC1A21,,
usdce,usd-coin-bridged-usdc-e,usd-coin-ethereum-bridged,,0XFF970A61A04B1CA14834A43F5DE4533EBDDB5CC8,,,,,,,,0XA7D7079B0FEAD91F3E65F86E8915CB59C1A4C664,,,
usdebt,usdebt,usdebt,0X00C5CA160A968F47E7272A0CFCDA36428F386CB6,,,,,,,,,,,,
usdt,tether,tether,0XDAC17F958D2EE523A2206206994597C13D831EC7,0XFD086BC7CD5C481DCC9C85EBE478A1C0B69FCBB9,0X94B008AA00579C1307B0EF2C499AD98A8CE58E58,0XC2132D05D31C914A87C6611C10748AEB04B58E8F,,0X55D398326F99059FF775485246999027B3197955,,ES9VMFRZACERMJFRF4H2FYD4KCONKY11MCCE8BENWNYB,0X1E4A5963ABFD975D8C9021CE480B42188849D41D,0X9702230A8EA53601F5CD2DC00FDBC13D4DF4A8C7,0XBB06DCA3AE6887FABF931640F67CAB3E3A16F4DC,,
vega,,vega-coin,0XCB84D72E61E383767C4DFEB2D8FF7F4FB89ABC6E,,,,,,,,,,,,
vet,vechain,vechain,,,,,,,,,,,,,
wagmigames,wagmigames,wagmi-game-2,0X3B604747AD1720C01DED0455728B62C0D2F100F0,,,,,,,,,,,,
wbnb,wbnb,wbnb,0X418D75F65A02B3D53B2418FB8E1FE493759C7605,,,0XECDCB5B88F8E3C15F95C720C51C71C9E2080525D,,0XBB4CDB9CBD36B01BD1CBAEBF2DE08D9173BC095C,0X7400793AAD94C8CA801AA036357D10F5FD0CE08F,9GP2KCY3WA1CTVYWQK75GUQXUHFREOMQYDHLTCTCQILA,,0X442F7F22B1EE2C842BEAFF52880D4573E9201158,,0XF5C6825015280CDFD0B56903F9F8B5A2233476F5,
wbtc,wrapped-bitcoin,wrapped-bitcoin,0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,0X2F2A2543B76A4166549F7AAB2E75BEF0AEFC5B0F,0X68F180FCCE6836688E9084F035309E29BF0A2095,0X1BFD67037B42CF73ACF2047067BD4F2C47D9BFD6,,,,3NZ9JMVBMGAQOCYBIC2C7LQCJSCMGSAZ6VQQTDZCQMJH,,0X408D4CD0ADB7CEBD1F1A1C33A0BA2098E1295BAB,0XA5B55AB1DAF0F8E1EFC0EB1931A957FD89B918F4,,
weth,wrapped-ethereum,wrapped-ethereum,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0X82AF49447D8A07E3BD95BD0D56F35241523FBAB1,0X4200000000000000000000000000000000000006,0X7CEB23FD6BC0ADD59E62AC25578270CFF1B9F619,0X722E8BDD2CE80A4422E880164F2079488E115365,0X4DB5A66E937A9F4473FA95B1CAF1D1E1D62E29EA,0X5AEA5775959FBC2557CC8789BC1BF90A239D9A91,7VFCXTUXX5WJV5JADK17DUJ4KSGAU7UTNKJ4B963VOXS,0X4F9A0E7FD2BF6067DB6994CF12E4495DF938E6E9,0X49D5C2BDFFAC6CE2BFDB6640F4F80F226BC10BAB,0X420000000000000000000000000000000000000A,0XE5D7C2A44FFDDF6B295A15C148167DAAAF5CF34F,0X4200000000000000000000000000000000000006
wld,worldcoin-org,worldcoin-wld,0X163F8C2467924BE0AE7B5347228CABF260318753,,0XDC6FF44D5D932CBD77B52E5612BA0529DC6226F1,,,,,,,,,,
xdc,xdc-network,xdce-crowd-sale,,,,,,,,,,,,,
xlm,stellar,stellar,,,,,,,,,,,,,
xmr,monero,monero,,,,,,,,,,,,,
xrd,,radix,,,,,,,,,,,,,
xrp,xrp,xrp,,,,,,0X1D2F0DA169CEB9FC7B3144628DB156F3F6C60DBE,,,,,,,
xtz,,tezos,,,,,,0X16939EF78684453BFDFB47825F8A5F714F12623A,,,,,,,
yfi,,yearn-finance,0X0BC529C00C6401AEF6D220BE8C6EA1667F6AD93E,0X82E3A8F066A6989666B031D916C43672085B1582,,,,0X88F1A5AE2A3BF98AEAF342D26B30A79438C9142E,,BXZX2JRJFJVKAZM1IBEDFXGANGKEXB74MRXZXKVGIKXX,,0X9EAAC1B23D935365BD7B542FE22CEEE2922F52DC,,,
